id,name,from,to,building,floor,weight,length,type
1,,1,2,10,1,1,6,1
2,,2,22,10,1,1,14.299999999999999,1
3,,22,3,10,1,1,5.1,1
4,,22,23,10,1,1,6.699999999999999,1
5,10101,3,4,10,1,1,24.9,1
6,,23,26,10,1,1,12.815615474880635,3
7,,4,24,10,1,1,6.1,1
8,,24,5,10,1,1,17.299999999999997,1
9,,24,25,10,1,1,8.300000000000004,1
10,10102,4,6,10,1,1,24,1
11,10103,6,7,10,1,1,33.4,1
12,M_Toilet,7,8,10,1,1,8.199999999999996,1
13,,6,9,10,1,1,6.399999999999999,1
14,,9,10,10,1,1,8.900000000000006,1
15,,10,11,10,1,1,4.5,1
16,,9,12,10,1,1,10.100000000000001,1
17,,12,13,10,1,1,5.099999999999994,1
18,M_Toilet;F_Toilet;C_Toilet,13,14,10,1,1,3.0999999999999943,1
19,101A;101B;101C;101D;,13,15,10,1,1,26.4,1
20,101E;101F;101G,15,16,10,1,1,21.000000000000007,1
21,101H,16,17,10,1,1,10.400000000000006,1
22,,17,18,10,1,1,4.599999999999994,1
23,F_Toilet,18,19,10,1,1,4.299999999999997,1
24,,17,20,10,1,1,5.000000000000007,1
25,,20,21,10,1,1,13,1
26,,17,43,10,1,5,5,2
27,,8,33,10,1,5,5,2
28,,15,42,10,1,5,5,2
29,,11,39,10,1,1,5,4
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
